date,title,image,legend,text
"2005","Intenção do município de Venâncio Aires em sediar uma Escola Técnica: Município busca investimentos e local para implantar Sede da UERGS","image1.png","Fonte: Jornal Folha do Mate 11 de março de 2005 – Pág.04",""
"2006","Busca de Escola Técnica Agrícola: Município faz tratativas com o Governo do Estado para busca de recursos para instalar Ensino Médio Profissionalizante na Escola Wolfram Metzler","image2.png","Fonte: Jornal Folha do Mate 07 de novembro de 2006 – Pág.06",""
"2007","Liberação de Crédito Orçamentário para implantação de Escola Técnica: 4 Milhões para Criação de Escola Técnica","image3.png","Fonte: Capa Jornal Folha do Mate Edição do dia 09 de janeiro de 2007",""
"2007","Primeiras Movimentações Políticas: Giovane Wickert, Assessor Parlamentar da Deputada Maria do Rosário comunica que ocorrerá a construção de 40 novas Escolas Técnicas em Cidades Polo do RS. O argumento para trazer para o município de Venâncio Aires, é que Venâncio Aires atenderia as Regiões do Vale do Rio Pardo e Taquari","image4.png","Fonte: Folha do Mate 12 de Janeiro de 2007 – Pág.05",""
"2007","Audiência Pública para candidatura da cidade para ter uma escola técnica: Município aguarda a chancela do Presidente Lula","image5.png","Fonte: Folha do Mate 16 de Março de 2007 – Pág.08",""
"2007","Presidente Lula confirma escola técnica para Venâncio Aires: Prefeito Almedo Dettenborn participa, em Brasília, do Plano de Desenvolvimento da Educação, que prevê a construção de 150 novas escolas técnicas profissionalizantes","image6.png","Fonte: Folha do Mate 24 de Abril de 2007 – Pág.07",""
"2008","Lei de Criação dos Institutos Federais","lei2008.jpg","Link (https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11892.htm)",""
"2008","II Fase da Expansão - Câmpus Venâncio","fase2.jpg","Fonte: Relatório do Auditoria Tribunal de Contas da União. TC 026.062/2011-9. Disponível em <https://www.ifmg.edu.br/portal/acesso-a-informacao/auditorias/acordao-legado-113027_tcu.pdf>","Plano de Expansão – Fase II (150 unidades) Em sua segunda fase, iniciada em 2007, o governo federal estabelece como meta a criação de 150 novas unidades da rede federal. A intenção do plano de expansão, fase II, era implantar uma escola técnica em cada cidade polo do País. Foram contemplados municípios de todos estados e do Distrito Federal. (Portal MEC)"
"2008","Secretário do MEC confirma Escola Técnica em Venâncio Aires: Eliezer Pacheco, Setec/MEC, garantiu a efetivação da implantação de uma unidade da Escola Técnica Federal em Venâncio Aires.","image7.png","Fonte: Folha do Mate 18 de Março de 2008 – Pág.08",""
"2008","19/05 Audiência pública para definição dos cursos: Reunião para definição dos Cinco cursos para a nova Escola","image8.png","Fonte: Folha do Mate 15 de Março de 2008 – Pág.05",""
"2008","Doação Terreno para implantação: Localizado no Bairro Universitário, o terreno de 85.01,59 m² pertence à Unisc e será doado para o Governo Federal.","image9.png","Fonte: Folha do Mate 03 de Maio de 2008 – Pág.07",""
